	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60
AT1G01750	48.6940750394052	44.6942477979979	79.7157667365497	46.3475409782783	63.5622869511667	55.6466192494365	9.04680499763221	24.0394312466279	13.3285806693338	23.0275753944793	41.6915884717704	68.8095455449177	73.510666764845	28.1098997809992	18.1939801403357	42.5266719085584	21.2595459963934	15.7625301028712	11.7089628326076	43.4659445781835	36.6760499112605	53.8384375756478	0	25.588146839712	5.93907361790816	31.8162665501261	17.7331810567874	0	26.2237090475349	0
AT1G01880	511.511155230449	452.200624779744	510.804382384484	441.460327818101	505.821988790337	479.810135365039	338.124336786504	372.611184322733	347.568372838781	425.404155971697	416.915884717704	426.349341023412	475.799810159271	412.278530121321	365.335121217942	607.658889715624	500.485145331762	491.79093920958	466.016720737782	482.583435957781	510.321037336681	380.458292201244	531.665765695229	429.880866907162	394.948395590892	300.928854453276	324.517213339209	460.213432083316	457.041786257037	369.691657163488
AT1G01030	136.254063183657	88.5121377960351	137.609899003318	114.710163921239	151.211335273302	103.343721463239	114.215913095107	103.169225766778	177.37265044575	79.9905250545071	54.1990650133016	137.619091089835	69.471619140403	32.1255997497134	100.430770374653	51.9770434437936	78.837483069959	50.4400963291877	92.8911051386869	95.8479803518919	58.6816798580167	31.1066528214854	74.9484779834684	40.9410349435392	109.872861931301	50.3757553710329	26.5997715851811	144.066813521734	80.5442492174287	46.6601120691781
AT1G01040	3719.95929223052	3787.61841143033	3931.9022598715	4101.75737657763	4481.47576840963	4027.56602383932	4836.64812185912	5004.20827117304	4835.19895665986	4144.96357100628	4348.43267760566	3854.68375729078	4202.22514846949	4427.97849883549	4525.93449970992	2350.307400813	2609.6092710573	4540.39679613204	4114.52953937831	2126.48775013267	3865.65566064685	4459.01904098754	3301.24624117809	1960.05204792194	5057.1211856488	5252.33533631664	3486.3433957644	2537.17666035498	2995.12219764345	3273.38632362234
AT1G01080	2168.89664510378	1912.65089841432	2392.36368105444	1662.71803259573	1550.91980160847	1681.89067568195	625.360395461326	712.168150681352	725.895008760641	313.902211956323	220.965418900383	445.238235878879	1214.94552543216	1203.37142395801	1537.02744225556	789.10602319214	867.212313769549	1051.36075786151	861.779664479919	601.836155697926	622.444961351106	354.137278275372	365.373830169409	293.410750428698	242.017249929757	241.273354671789	280.184260697241	142.065885556154	159.215376360034	138.185716512566
AT1G01090	60103.6775761612	52383.8493137535	63485.3694253008	79709.6596629675	86488.2002393954	79805.2015207275	41514.6572835095	51239.0460592188	50427.1470492703	29698.3003929643	29641.329683813	25856.1986435844	67128.9715182266	68887.3251133072	85649.9809086445	80023.8560860647	89515.9758610642	58478.1985551469	43032.7802023994	58927.561222623	36887.7231136055	26651.2230096696	29724.0979402562	36198.6983959126	25423.6893898603	25350.9360515859	15270.0422079996	12493.7942170792	11397.9478253036	9078.98103684507
AT1G01100	33149.4967360002	33393.1757886041	30012.7635065715	31095.1445865892	26592.4536302539	30360.3412043762	20476.3122615158	22421.7778523236	19131.6396376745	20437.5791514266	16211.0793174401	15750.6398959092	23290.7642215825	21589.7415984636	23898.8845531394	21140.4811243212	22843.3821731248	17531.8741069185	20599.9686101676	25428.6920896368	16836.4026835492	10256.8205630229	13979.0622138854	20501.2232479773	8590.86998830415	7844.035382379	14574.9015105736	15743.3012331806	14228.2352803625	12255.4578969391
AT1G01110	436.013002187701	472.356854178841	506.796327073707	468.110163880611	521.879829704316	494.005701500099	333.600934287688	292.479746833973	379.351911357962	140.589407671558	86.1626161749922	172.69846724999	370.784571923779	332.633814075157	376.251509302143	259.885217218968	267.515953787951	349.92816828374	369.222627988226	250.765064874136	308.078819254588	189.032736376719	209.621524360013	249.057962573197	173.717903323814	139.196166156802	115.265676869118	122.056605900358	71.1786388433091	37.6870135943361
AT1G01120	1190.1010633484	1178.7012409472	1392.13121127628	2683.52262264232	2938.58488725815	3200.248429488	6025.17212842305	5675.30906014141	4816.74399881002	4281.91704572081	3919.00931634642	4952.93807245869	7789.7072484989	7257.70841012274	7019.23753814153	15471.2032403336	13504.2407797924	11046.3810960921	8571.74139099093	9881.25806744039	12265.5189774658	15360.7044451943	18631.7231987029	20917.4571032366	6452.80348585721	7997.81400403794	8632.51253844411	5126.37744781502	5992.11751736173	6543.18340785474
AT1G01130	811.270094234493	740.084162066848	799.829704239348	648.865573695897	567.377045627257	499.116105308721	375.442407401737	410.673617129894	400.882695516117	287.238703604821	247.370091599171	269.841355078109	669.674096132489	697.393227900028	748.864222576219	626.559632786094	726.367821543443	601.340523424535	449.624172772132	859.288288968705	343.706982025527	242.871173952367	220.161154076439	339.469414740179	247.956323547666	213.434121440429	170.238538145159	216.100220282601	236.013381427814	98.7040832232613
