Gene1	Gene2	Corr_strength
AT5G12020	AT5G12030	0.9577977599275613
AT5G12020	AT3G46230	0.974325228420691
AT5G12020	AT4G25200	0.9572634678180821
AT5G12020	AT1G59860	0.9143310952862953
AT5G12020	AT1G74310	0.8246783916326933
AT5G12020	AT4G12400	0.9659956943653047
AT5G12020	AT5G51440	0.8518320183497188
AT5G12020	AT1G72660	0.9232342298133351
AT5G12020	AT5G48570	0.9369556569329272
AT5G12020	AT5G52640	0.8620414770022995
AT5G12020	254414_at	0.9253431610075659
AT5G12020	AT5G64510	0.8325370385631029
AT5G12020	AT1G54050	0.8205657438438927
AT5G12020	AT5G25450	0.886163387842701
AT5G12020	AT2G32120	0.8818696345567469
AT5G12020	AT1G17870	0.8982258373072978
AT5G12020	AT4G03320	0.8644812939081625
AT5G12020	AT1G21550	0.8185637183583776
AT5G12020	AT3G20180	0.8304837083149444
AT5G12020	AT5G12110	0.8292247771420226
AT5G12020	AT2G19310	0.8260220897126059
AT5G12020	AT5G47830	0.9131292930664747
AT5G12020	AT4G29770	0.9153321859106441
AT5G12020	ATMG00630	0.8253373333133047
AT5G12020	AT1G59980	0.8739195094933717
AT5G12020	AT3G12510	0.8036314964403397
AT5G12020	AT3G53230	0.8654239818464811
AT5G12020	AT4G19430	0.8402752644460589
AT5G12020	AT1G07500	0.8042931414510186
AT5G12020	AT5G27660	0.8116291581276857
AT5G12020	AT2G07675	0.8222146451373509
AT5G12020	AT1G01940	0.9100199156923243
AT5G12020	257239_at	0.9188631423350518
AT5G12020	AT1G76280	0.8083436441472338
AT5G12020	AT4G23885	0.8068233368146005
AT5G12020	ATMG00690	0.80775704431769
AT5G12020	AT2G30000	0.8595326097746201
AT5G12020	AT3G23990	0.8225728830287131
AT5G12020	AT2G15790	0.809733088999973
AT5G12020	AT5G58590	0.8095042281342364
AT5G12020	AT3G03520	0.8190800364251951
AT5G12020	AT4G26780	0.8844151715438835
AT5G12020	AT5G58787	0.8307740355752397
AT5G12020	AT3G07770	0.8504074649826672
AT2G29500	AT1G52560	0.8996164750230696
AT2G29500	AT1G53540	0.9848644981523118
AT2G29500	AT4G10250	0.9456390412185587
AT2G29500	AT5G12030	0.940059811708932
AT2G29500	AT3G46230	0.9833050758991951
AT2G29500	AT4G25200	0.9228960120868756
AT2G29500	AT1G59860	0.8675939257393916
AT2G29500	AT4G12400	0.9223562918997301
AT2G29500	AT1G72660	0.9191947380831167
AT2G29500	AT5G48570	0.8686079040080522
AT2G29500	254414_at	0.9035601455152705
AT2G29500	AT5G25450	0.8202521929090424
AT2G29500	AT2G32120	0.8323194580456355
AT2G29500	AT1G17870	0.8504103363566536
AT2G29500	AT4G03320	0.8644712648370081
AT2G29500	AT1G21550	0.804008406889613
AT2G29500	AT5G47830	0.8636824329159963
AT2G29500	AT4G29770	0.85087946485112
AT2G29500	ATMG00630	0.8457100555120527
AT2G29500	AT2G26790	0.8362221458926797
AT2G29500	AT1G59980	0.8356242006197018
AT2G29500	AT3G12510	0.8470485704917985
AT2G29500	AT4G19430	0.8174550235190238
AT2G29500	ATMG00160	0.8077907080347166
AT2G29500	AT5G27660	0.8124938975273426
AT2G29500	ATMG00650	0.8045269562230672
AT2G29500	AT2G07675	0.8469007559870655
AT2G29500	AT1G01940	0.8841490798961724
AT2G29500	257239_at	0.9164854617932435
AT2G29500	AT1G76280	0.8800789578343747
AT2G29500	ATMG00690	0.8307957938471751
AT2G29500	AT2G30000	0.9053368473108877
AT2G29500	AT4G26780	0.8597260890718547
AT2G29500	AT5G58787	0.8135718209895481
AT1G52560	AT1G53540	0.9417318503843156
AT1G52560	AT4G10250	0.9159104825288226
AT1G52560	AT5G12030	0.9133376243769172
AT1G52560	AT3G46230	0.942646709618959
AT1G52560	AT4G25200	0.9497469291217836
AT1G52560	AT1G59860	0.8449601664211305
AT1G52560	AT4G12400	0.8878575384870596
AT1G52560	AT5G37670	0.8878244359277541
AT1G52560	AT5G51440	0.8189799299658873
AT1G52560	AT1G72660	0.9721205868421793
AT1G52560	AT1G71000	0.8216100939356314
AT1G52560	AT5G48570	0.8471728214901069
AT1G52560	AT1G56600	0.8132387535853443
AT1G52560	AT2G46240	0.8607532660889098
AT1G52560	254414_at	0.9548915197401977
AT1G52560	AT4G23493	0.8627705966683554
AT1G52560	AT5G64510	0.8264032450591271
AT1G52560	AT1G54050	0.8496953837578913
AT1G52560	AT5G25450	0.8959631563051206
AT1G52560	AT2G32120	0.9485237102176481
AT1G52560	AT1G16030	0.8801932708636266
AT1G52560	AT1G17870	0.9305709178396774
AT1G52560	AT4G03320	0.802630353333641
AT1G52560	AT1G21550	0.8919364991556187
AT1G52560	AT3G20180	0.8738559148724289
AT1G52560	AT5G12110	0.8022028693098707
AT1G52560	AT5G10695	0.8515097999296125
